,time_stamp,id,age,gender,trial,word,wordtype,reaction_time,decision,trigger_word,trigger_decision
96,2022_Mar_15_1127,abc,123,Female,96,pnege,center_shuffle,0.7445193000021391,nej,2,22
97,2022_Mar_15_1127,abc,123,Female,97,natur,real,0.6849108999886084,ja,1,11
98,2022_Mar_15_1127,abc,123,Female,98,kirke,real,0.6673965999943903,ja,1,11
99,2022_Mar_15_1127,abc,123,Female,99,kraft,real,0.7111941999901319,ja,1,11
100,2022_Mar_15_1127,abc,123,Female,100,skole,real,0.5805362000101013,ja,1,11
101,2022_Mar_15_1127,abc,123,Female,101,sporg,center_shuffle,0.5572546000039438,ja,2,12
102,2022_Mar_15_1127,abc,123,Female,102,musik,real,0.8062156999949366,ja,1,11
103,2022_Mar_15_1127,abc,123,Female,103,karft,center_shuffle,0.6531471000052989,nej,2,22
104,2022_Mar_15_1127,abc,123,Female,104,gepen,fully_shuffle,0.702504200002295,nej,3,23
105,2022_Mar_15_1127,abc,123,Female,105,ᚴᚱᚨᚠᛏ,foreign,0.6313929000025382,nej,4,24
106,2022_Mar_15_1127,abc,123,Female,106,næsno,fully_shuffle,0.6861917000060203,nej,3,23
107,2022_Mar_15_1127,abc,123,Female,107,ramon,center_shuffle,0.5787784999993164,nej,2,22
108,2022_Mar_15_1127,abc,123,Female,108,alvor,real,0.5901977000030456,nej,1,21
109,2022_Mar_15_1127,abc,123,Female,109,ønkse,center_shuffle,1.3789634999993723,nej,2,22
110,2022_Mar_15_1127,abc,123,Female,110,ᛗᚢᛋᛁᚴ,foreign,0.595103100000415,nej,4,24
111,2022_Mar_15_1127,abc,123,Female,111,sosæn,center_shuffle,0.7621132000058424,nej,2,22
112,2022_Mar_15_1127,abc,123,Female,112,ᛗᛖᛞᛁᛖ,foreign,0.5028557999903569,nej,4,24
113,2022_Mar_15_1127,abc,123,Female,113,vrædi,center_shuffle,0.7163262000103714,nej,2,22
114,2022_Mar_15_1127,abc,123,Female,114,ᚡᛖᚱᛞᛁ,foreign,0.5829724999930477,nej,4,24
115,2022_Mar_15_1127,abc,123,Female,115,patri,center_shuffle,0.6987858999927994,ja,2,12
116,2022_Mar_15_1127,abc,123,Female,116,ridæv,fully_shuffle,0.6579767000075663,nej,3,23
117,2022_Mar_15_1127,abc,123,Female,117,åsarg,center_shuffle,1.0536467999918386,nej,2,22
118,2022_Mar_15_1127,abc,123,Female,118,roman,real,1.208526599992183,ja,1,11
119,2022_Mar_15_1127,abc,123,Female,119,ᚠᛟᚴᚢᛋ,foreign,0.6062951999920188,nej,4,24
120,2022_Mar_15_1127,abc,123,Female,120,lipra,fully_shuffle,0.8582554000022355,nej,3,23
121,2022_Mar_15_1127,abc,123,Female,121,aktie,real,1.6773813999898266,ja,1,11
122,2022_Mar_15_1127,abc,123,Female,122,drugn,fully_shuffle,0.6873780000023544,nej,3,23
123,2022_Mar_15_1127,abc,123,Female,123,nutar,center_shuffle,0.751174599994556,nej,2,22
